mm x kg/m,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),tw Espessura da Alma (mm),tf Espessura da Mesa (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Zx (cm³),Iy (cm⁴),Wy (cm³),ry (cm),Zy (cm³),rt (cm),It (cm⁴),Esbeltez da Mesa (bf/2tf),Esbeltez da Alma (d'/tw),Cw (cm⁶),u (Área de pintura - m²/m)
HSS76.2X5.5,"9,57",0,0,0,0,0,0,"11,4","72,4",19,"2,52","25,9","72,4",19,"2,52","25,9","0,00",145,#DIV/0!,#DIV/0!,0,0
HSS76.2X5.2,"9,03",0,0,0,0,0,0,"10,8","69,1",18,"2,53","24,6","69,1",18,"2,53","24,6","0,00",138,#DIV/0!,#DIV/0!,0,0
HSS76.2X4.8,"8,41",0,0,0,0,0,0,"9,94","64,5","16,9","2,54","22,8","64,5","16,9","2,54","22,8","0,00",129,#DIV/0!,#DIV/0!,0,0
HSS76.2X3.9,"6,89",0,0,0,0,0,0,"8,19","54,1","14,2","2,57","18,8","54,1","14,2","2,57","18,8","0,00",108,#DIV/0!,#DIV/0!,0,0
HSS76.2X3.4,"6,11",0,0,0,0,0,0,"7,23","48,3","12,7","2,59","16,9","48,3","12,7","2,59","16,9","0,00","96,6",#DIV/0!,#DIV/0!,0,0
HSS76.2X3.2,"5,72",0,0,0,0,0,0,"6,77","45,4",12,"2,59","15,8","45,4",12,"2,59","15,8","0,00","91,2",#DIV/0!,#DIV/0!,0,0
HSS73X6.4,"10,4",0,0,0,0,0,0,"12,5","70,8","19,3","2,38","26,7","70,8","19,3","2,38","26,7","0,00",142,#DIV/0!,#DIV/0!,0,0
HSS73X5.2,"8,63",0,0,0,0,0,0,"10,3","60,4","16,6","2,42","22,5","60,4","16,6","2,42","22,5","0,00",120,#DIV/0!,#DIV/0!,0,0
HSS73X4.8,"8,04",0,0,0,0,0,0,"9,55","56,2","15,4","2,43","20,8","56,2","15,4","2,43","20,8","0,00",112,#DIV/0!,#DIV/0!,0,0
HSS73X3.2,"5,47",0,0,0,0,0,0,"6,52","39,9","10,9","2,48","14,5","39,9","10,9","2,48","14,5","0,00","79,9",#DIV/0!,#DIV/0!,0,0
HSS63.5X6.4,"8,95",0,0,0,0,0,0,"10,7",45,"14,1","2,05","19,7",45,"14,1","2,05","19,7","0,00","89,5",#DIV/0!,#DIV/0!,0,0
HSS63.5X4.8,"6,91",0,0,0,0,0,0,"8,19",36,"11,3","2,1","15,5",36,"11,3","2,1","15,5","0,00",72,#DIV/0!,#DIV/0!,0,0
HSS63.5X3.2,"4,72",0,0,0,0,0,0,"5,61","25,8","8,11","2,14","10,8","25,8","8,11","2,14","10,8","0,00","51,6",#DIV/0!,#DIV/0!,0,0
HSS60.3X6.4,"8,45",0,0,0,0,0,0,"10,1","37,9","12,6","1,94","17,5","37,9","12,6","1,94","17,5","0,00","75,8",#DIV/0!,#DIV/0!,0,0
HSS60.3X5.5,"7,48",0,0,0,0,0,0,"8,97","34,3","11,4","1,96","15,7","34,3","11,4","1,96","15,7","0,00","68,7",#DIV/0!,#DIV/0!,0,0
HSS60.3X4.8,"6,54",0,0,0,0,0,0,"7,74","30,5","10,1","1,98","13,8","30,5","10,1","1,98","13,8","0,00","61,2",#DIV/0!,#DIV/0!,0,0
HSS60.3X3.9,"5,44",0,0,0,0,0,0,"6,45","26,1","8,65","2,01","11,7","26,1","8,65","2,01","11,7","0,00",52,#DIV/0!,#DIV/0!,0,0
HSS60.3X3.2,"4,47",0,0,0,0,0,0,"5,31","21,9","7,26","2,03","9,7","21,9","7,26","2,03","9,7","0,00","43,7",#DIV/0!,#DIV/0!,0,0
HSS48.3X4.8,"5,12",0,0,0,0,0,0,"6,08","14,8","6,13","1,56","8,52","14,8","6,13","1,56","8,52","0,00","29,6",#DIV/0!,#DIV/0!,0,0
HSS48.3X3.7,"4,05",0,0,0,0,0,0,"4,83","12,2","5,06","1,59","6,9","12,2","5,06","1,59","6,9","0,00","24,4",#DIV/0!,#DIV/0!,0,0
HSS48.3X3.0,"3,4",0,0,0,0,0,0,"4,03","10,4","4,33","1,61","5,83","10,4","4,33","1,61","5,83","0,00","20,9",#DIV/0!,#DIV/0!,0,0
HSS42.2X3.6,"3,38",0,0,0,0,0,0,"4,03","7,66","3,64","1,38",5,"7,66","3,64","1,38",5,"0,00","15,3",#DIV/0!,#DIV/0!,0,0
Pipe305STD,"73,8",0,0,0,0,0,0,"88,4",10900,672,"11,2",880,10900,672,"11,2",880,"0,00",21800,#DIV/0!,#DIV/0!,0,0
Pipe254STD,"60,2",0,0,0,0,0,0,"74,2",6290,460,"9,35",605,6290,460,"9,35",605,"0,00",12600,#DIV/0!,#DIV/0!,0,0
Pipe203STD,"42,5",0,0,0,0,0,0,"50,6",2830,259,"7,49",341,2830,259,"7,49",341,"0,00",5660,#DIV/0!,#DIV/0!,0,0
Pipe152STD,"28,3",0,0,0,0,0,0,"33,5",1100,131,"5,72",174,1100,131,"5,72",174,"0,00",2200,#DIV/0!,#DIV/0!,0,0
Pipe127STD,"21,7",0,0,0,0,0,0,"25,9",595,"84,2","4,78",112,595,"84,2","4,78",112,"0,00",1190,#DIV/0!,#DIV/0!,0,0
Pipe102STD,"16,1",0,0,0,0,0,0,"19,1",284,"49,7","3,84","66,4",284,"49,7","3,84","66,4","0,00",566,#DIV/0!,#DIV/0!,0,0
Pipe89STD,"13,6",0,0,0,0,0,0,"16,1",188,37,"3,4","49,7",188,37,"3,4","49,7","0,00",376,#DIV/0!,#DIV/0!,0,0
Pipe76STD,"11,3",0,0,0,0,0,0,"13,4",119,"26,7","2,97","35,9",119,"26,7","2,97","35,9","0,00",237,#DIV/0!,#DIV/0!,0,0
Pipe64STD,"8,62",0,0,0,0,0,0,"10,4","60,4","16,6","2,42","22,5","60,4","16,6","2,42","22,5","0,00",120,#DIV/0!,#DIV/0!,0,0
Pipe51STD,"5,44",0,0,0,0,0,0,"6,58","26,1","8,65","2,01","11,7","26,1","8,65","2,01","11,7","0,00",52,#DIV/0!,#DIV/0!,0,0
Pipe38STD,"4,04",0,0,0,0,0,0,"4,83","12,2","5,06","1,59","6,9","12,2","5,06","1,59","6,9","0,00","24,4",#DIV/0!,#DIV/0!,0,0
Pipe32STD,"3,38",0,0,0,0,0,0,"4,03","7,66","3,64","1,38",5,"7,66","3,64","1,38",5,"0,00","15,3",#DIV/0!,#DIV/0!,0,0
Pipe25STD,"2,5",0,0,0,0,0,0,"3,03","3,45","2,06","1,07","2,9","3,45","2,06","1,07","2,9","0,00","6,91",#DIV/0!,#DIV/0!,0,0
Pipe19STD,"1,68",0,0,0,0,0,0,"2,01","1,46","1,1",853,"1,54","1,46","1,1",853,"1,54","0,00","2,91",#DIV/0!,#DIV/0!,0,0
Pipe13STD,"1,26",0,0,0,0,0,0,"1,51",666,636,671,909,667,636,671,909,"0,00","1,33",#DIV/0!,#DIV/0!,0,0
Pipe305XS,"97,4",0,0,0,0,0,0,113,14100,872,11,1150,14100,872,11,1150,"0,00",28200,#DIV/0!,#DIV/0!,0,0
Pipe254XS,"81,5",0,0,0,0,0,0,"97,4",8280,606,"9,25",806,8280,606,"9,25",806,"0,00",16600,#DIV/0!,#DIV/0!,0,0
Pipe203XS,"64,5",0,0,0,0,0,0,"76,8",4160,379,"7,34",508,4160,379,"7,34",508,"0,00",8280,#DIV/0!,#DIV/0!,0,0
Pipe152XS,"42,5",0,0,0,0,0,0,"50,5",1590,190,"5,59",256,1590,190,"5,59",256,"0,00",3190,#DIV/0!,#DIV/0!,0,0
Pipe127XS,"30,9",0,0,0,0,0,0,37,812,115,"4,7",156,812,115,"4,7",156,"0,00",1620,#DIV/0!,#DIV/0!,0,0
Pipe102XS,"22,3",0,0,0,0,0,0,"26,7",380,"66,4","3,76","90,6",380,"66,4","3,76","90,6","0,00",758,#DIV/0!,#DIV/0!,0,0
Pipe89XS,"18,6",0,0,0,0,0,0,"22,1",247,"48,7","3,33","66,7",247,"48,7","3,33","66,7","0,00",495,#DIV/0!,#DIV/0!,0,0
Pipe76XS,"15,3",0,0,0,0,0,0,"18,3",154,"34,6","2,9","47,7",154,"34,6","2,9","47,7","0,00",308,#DIV/0!,#DIV/0!,0,0
Pipe64XS,"11,4",0,0,0,0,0,0,"13,5","76,2","20,8","2,36",29,"76,2","20,8","2,36",29,"0,00",152,#DIV/0!,#DIV/0!,0,0
Pipe51XS,"7,48",0,0,0,0,0,0,"9,03","34,4","11,4","1,96","15,8","34,4","11,4","1,96","15,8","0,00","68,7",#DIV/0!,#DIV/0!,0,0
Pipe38XS,"5,4",0,0,0,0,0,0,"6,45","15,5","6,42","1,55",9,"15,5","6,42","1,55",9,"0,00",31,#DIV/0!,#DIV/0!,0,0
Pipe32XS,"4,46",0,0,0,0,0,0,"5,4","9,61","4,56","1,34","6,44","9,61","4,56","1,34","6,44","0,00","19,2",#DIV/0!,#DIV/0!,0,0
Pipe25XS,"3,23",0,0,0,0,0,0,"3,88","4,2","2,52","1,04","3,62","4,2","2,52","1,04","3,62","0,00","8,41",#DIV/0!,#DIV/0!,0,0
Pipe19XS,"2,2",0,0,0,0,0,0,"2,63","1,79","1,34",826,"1,95","1,79","1,34",826,"1,95","0,00","3,58",#DIV/0!,#DIV/0!,0,0
Pipe13XS,"1,62",0,0,0,0,0,0,"1,95",791,757,643,"1,12",791,757,643,"1,12","0,00","1,58",#DIV/0!,#DIV/0!,0,0
Pipe203XXS,108,0,0,0,0,0,0,129,6410,587,"7,06",818,6410,587,"7,06",818,"0,00",12800,#DIV/0!,#DIV/0!,0,0
Pipe152XXS,"79,1",0,0,0,0,0,0,"94,8",2640,315,"5,28",449,2640,315,"5,28",449,"0,00",5290,#DIV/0!,#DIV/0!,0,0
Pipe127XXS,"57,4",0,0,0,0,0,0,69,1340,190,"4,42",274,1340,190,"4,42",274,"0,00",2680,#DIV/0!,#DIV/0!,0,0
Pipe102XXS,41,0,0,0,0,0,0,"49,4",612,107,"3,53",156,612,107,"3,53",156,"0,00",1220,#DIV/0!,#DIV/0!,0,0
Pipe76XXS,"27,7",0,0,0,0,0,0,"33,4",241,"54,2","2,69","80,1",241,"54,2","2,69","80,1","0,00",483,#DIV/0!,#DIV/0!,0,0
Pipe64XXS,"20,4",0,0,0,0,0,0,"24,7",116,"31,8","2,17","47,7",116,"31,8","2,17","47,7","0,00",231,#DIV/0!,#DIV/0!,0,0
Pipe51XXS,"13,4",0,0,0,0,0,0,"16,2","52,9","17,5","1,81","26,2","52,9","17,5","1,81","26,2","0,00",106,#DIV/0!,#DIV/0!,0,0
CS 150x25,"25,4",150,150,"6,3",8,134,134,"32,4",1337,178,"6,42",199,450,60,"3,73",91,"4,10",6,"9,4",21,22685,"0,89"
CS 150x29,"28,9",150,150,"6,3","9,5",131,131,"36,8",1527,204,"6,44",227,535,71,"3,81",108,"4,14",10,"7,9",21,26372,"0,89"
CS 150x31,"30,6",150,150,8,"9,5",131,131,39,1559,208,"6,32",235,535,71,"3,7",109,"4,09",11,"7,9",16,26372,"0,88"
CS 150x37,"37,3",150,150,8,"12,5",125,125,"47,5",1908,254,"6,34",289,704,94,"3,85",143,"4,15",22,6,16,33234,"0,88"
CS 150x45,"45,1",150,150,8,16,118,118,"57,4",2274,303,"6,29",349,901,120,"3,96",182,"4,20",43,"4,7",15,40401,"0,88"
CS 200x29,29,200,200,"6,3","6,3",187,187,37,2778,278,"8,66",299,840,84,"4,76",128,"5,37",5,"15,9",30,78791,"1,19"
CS 200x34,"34,2",200,200,"6,3",8,184,184,"43,6",3278,328,"8,67",361,1067,107,"4,95",162,"5,45",8,"12,5",29,98304,"1,19"
CS 200x39,"38,8",200,200,"6,3","9,5",181,181,"49,4",3762,376,"8,73",414,1267,127,"5,06",192,"5,51",13,"10,5",29,114919,"1,19"
CS 200x41,"41,2",200,200,8,"9,5",181,181,"52,5",3846,385,"8,56",427,1267,127,"4,91",193,"5,44",15,"10,5",23,114919,"1,18"
CS 200x50,"50,2",200,200,8,"12,5",175,175,64,4758,476,"8,62",530,1667,167,"5,1",253,"5,52",29,8,22,146484,"1,18"
CS 200x61,"60,8",200,200,8,16,168,168,"77,4",5747,575,"8,62",645,2134,213,"5,25",323,"5,58",58,"6,3",21,180565,"1,18"
CS 250x43,"42,9",250,250,"6,3",8,234,234,"54,7",6531,522,"10,93",570,2084,167,"6,17",252,"6,81",11,"15,6",37,305021,"1,49"
CS 250x49,"48,7",250,250,"6,3","9,5",231,231,"62,1",7519,602,11,655,2474,198,"6,31",299,"6,87",16,"13,2",37,357736,"1,49"
CS 250x52,"51,8",250,250,8,"9,5",231,231,66,7694,616,"10,8",678,2475,198,"6,12",301,"6,79",18,"13,2",29,357736,"1,48"
CS 250x63,"63,2",250,250,8,"12,5",225,225,"80,5",9581,766,"10,91",843,3256,260,"6,36",394,"6,89",37,10,28,459035,"1,48"
CS 250x66,"65,9",250,250,"9,5","12,5",225,225,"83,9",9723,778,"10,77",862,3257,261,"6,23",396,"6,84",39,10,24,459035,"1,48"
CS 250x76,"76,5",250,250,8,16,218,218,"97,4",11659,933,"10,94",1031,4168,333,"6,54",503,"6,97",72,"7,8",27,570375,"1,48"
CS 250x79,79,250,250,"9,5",16,218,218,"100,7",11788,943,"10,82",1049,4168,333,"6,43",505,"6,92",75,"7,8",23,570375,"1,48"
CS 250x84,"84,2",250,250,"12,5",16,218,218,"107,3",12047,964,"10,6",1085,4170,334,"6,23",509,"6,84",84,"7,8",17,570375,"1,48"
CS 250x90,"90,4",250,250,"9,5",19,212,212,"115,1",13456,1076,"10,81",1204,4949,396,"6,56",599,"6,98",121,"6,6",22,660064,"1,48"
CS 250x95,"95,4",250,250,"12,5",19,212,212,"121,5",13694,1096,"10,62",1238,4951,396,"6,38",602,"6,90",129,"6,6",17,660064,"1,48"
CS 250x108,108,250,250,"12,5","22,4",205,205,"137,6",15501,1240,"10,61",1406,5837,467,"6,51",708,"6,96",202,"5,6",16,755442,"1,48"
CS 300x62,"62,4",300,300,8,"9,5",281,281,"79,5",13509,901,"13,04",986,4276,285,"7,33",432,"8,14",22,"15,8",35,901921,"1,78"
CS 300x76,"76,1",300,300,8,"12,5",275,275,97,16894,1126,"13,2",1229,5626,375,"7,62",567,"8,27",44,12,34,1162354,"1,78"
CS 300x92,"92,2",300,300,8,16,268,268,"117,4",20661,1377,"13,27",1507,7201,480,"7,83",724,"8,36",87,"9,4",34,1451808,"1,78"
CS 300x95,"95,4",300,300,"9,5",16,268,268,"121,5",20902,1393,"13,12",1534,7202,480,"7,7",726,"8,30",90,"9,4",28,1451808,"1,78"
CS 300x102,"101,7",300,300,"12,5",16,268,268,"129,5",21383,1426,"12,85",1588,7204,480,"7,46",730,"8,20",100,"9,4",21,1451808,"1,78"
CS 300x109,109,300,300,"9,5",19,262,262,"138,9",23962,1597,"13,13",1765,8552,570,"7,85",861,"8,36",145,"7,9",28,1687791,"1,78"
CS 300x115,"115,2",300,300,"12,5",19,262,262,"146,8",24412,1627,"12,9",1816,8554,570,"7,63",865,"8,27",156,"7,9",21,1687791,"1,78"
CS 300x122,"122,4",300,300,16,19,262,262,"155,9",24936,1662,"12,65",1876,8559,571,"7,41",872,"8,18",176,"7,9",16,1687791,"1,77"
CS 300x131,"130,5",300,300,"12,5","22,4",255,255,"166,3",27774,1852,"12,92",2069,10084,672,"7,79",1018,"8,34",243,"6,7",20,1941956,"1,78"
CS 300x138,"137,5",300,300,16,"22,4",255,255,"175,2",28257,1884,"12,7",2126,10089,673,"7,59",1024,"8,25",263,"6,7",16,1941956,"1,77"
CS 300x149,"149,2",300,300,16,25,250,250,190,30521,2035,"12,67",2313,11259,751,"7,7",1141,"8,30",350,6,16,2126953,"1,77"
CS 500x172,"171,5",500,500,"12,5",16,468,468,"218,5",104414,4177,"21,86",4556,33341,1334,"12,35",2018,"13,63",168,"15,6",37,19521333,"2,98"
CS 500x195,"194,5",500,500,"12,5",19,462,462,"247,8",120226,4809,"22,03",5237,39591,1584,"12,64",2393,"13,75",260,"13,2",37,22895099,"2,98"
CS 500x207,"207,2",500,500,16,19,462,462,"263,9",123102,4924,"21,6",5423,39599,1584,"12,25",2405,"13,58",294,"13,2",29,22895099,"2,97"
CS 500x221,"220,5",500,500,"12,5","22,4",455,455,"280,9",138161,5526,"22,18",5996,46674,1867,"12,89",2818,"13,86",406,"11,2",36,26611872,"2,98"
CS 500x233,233,500,500,16,"22,4",455,455,"296,8",140908,5636,"21,79",6177,46682,1867,"12,54",2829,"13,71",440,"11,2",28,26611872,"2,97"
CS 500x253,"252,8",500,500,16,25,450,450,322,153296,6132,"21,82",6748,52099,2084,"12,72",3154,"13,79",586,10,28,29378255,"2,97"
CS 500x263,"263,4",500,500,19,25,450,450,"335,5",155574,6223,"21,53",6899,52109,2084,"12,46",3166,"13,68",629,10,24,29378255,"2,96"
CS 500x312,"312,4",500,500,19,"31,5",437,437,398,186324,7453,"21,64",8286,65650,2626,"12,84",3977,"13,84",1149,"7,9",23,36010447,"2,96"
CS 500x324,"324,1",500,500,"22,4","31,5",437,437,"412,9",188689,7548,"21,38",8448,65666,2627,"12,61",3992,"13,74",1217,"7,9",20,36010447,"2,96"
CS 500x333,"333,1",500,500,25,"31,5",437,437,"424,3",190497,7620,"21,19",8572,65682,2627,"12,44",4006,"13,67",1286,"7,9",17,36010447,"2,95"
CS 500x369,"369,1",500,500,"22,4","37,5",425,425,"470,2",215306,8612,"21,4",9683,78165,3127,"12,89",4741,"13,86",1931,"6,7",19,41778564,"2,96"
CS 500x378,"377,8",500,500,25,"37,5",425,425,"481,3",216969,8679,"21,23",9801,78180,3127,"12,75",4754,"13,80",1999,"6,7",17,41778564,"2,95"
CS 550x228,"228,4",550,550,16,19,512,512,"290,9",165283,6010,"23,84",6598,52703,1916,"13,46",2907,"14,93",324,"14,5",32,37138082,"3,27"
CS 550x257,"256,9",550,550,16,"22,4",505,505,"327,2",189447,6889,"24,06",7520,62131,2259,"13,78",3420,"15,08",484,"12,3",32,43224942,"3,27"
CS 550x269,"268,8",550,550,19,"22,4",505,505,"342,4",192667,7006,"23,72",7711,62142,2260,"13,47",3434,"14,94",533,"12,3",27,43224942,"3,26"
CS 550x279,"278,7",550,550,16,25,500,500,355,206302,7502,"24,11",8219,69340,2521,"13,98",3813,"15,16",645,11,31,47767822,"3,27"
CS 550x290,"290,5",550,550,19,25,500,500,370,209427,7616,"23,79",8406,69351,2522,"13,69",3826,"15,04",693,11,26,47767822,"3,26"
CS 550x345,"344,6",550,550,19,"31,5",487,487,439,251459,9144,"23,93",10110,87375,3177,"14,11",4808,"15,22",1265,"8,7",26,58706326,"3,26"
CS 550x358,"357,6",550,550,"22,4","31,5",487,487,"455,6",254731,9263,"23,65",10311,87392,3178,"13,85",4825,"15,11",1340,"8,7",22,58706326,"3,26"
CS 550x368,"367,6",550,550,25,"31,5",487,487,"468,3",257234,9354,"23,44",10465,87410,3179,"13,66",4840,"15,02",1416,"8,7",19,58706326,"3,25"
CS 550x395,"394,7",550,550,19,"37,5",475,475,"502,8",288317,10484,"23,95",11642,104012,3782,"14,38",5715,"15,33",2051,"7,3",25,68280365,"3,26"
CS 550x407,"407,3",550,550,"22,4","37,5",475,475,"518,9",291353,10595,"23,7",11834,104029,3783,"14,16",5731,"15,24",2126,"7,3",21,68280365,"3,26"
CS 550x417,"417,1",550,550,25,"37,5",475,475,"531,3",293675,10679,"23,51",11980,104046,3783,"13,99",5746,"15,17",2201,"7,3",19,68280365,"3,25"
CS 550x441,"441,2",550,550,"31,5","37,5",475,475,"562,1",299480,10890,"23,08",12347,104108,3786,"13,61",5790,"15,00",2468,"7,3",15,68280365,"3,24"
CS 550x498,"498,2",550,550,"31,5","44,5",461,461,"634,7",339231,12336,"23,12",14046,123515,4491,"13,95",6845,"15,15",3758,"6,2",15,78827755,"3,24"
CS 600x250,"249,6",600,600,16,19,562,562,"317,9",216146,7205,"26,08",7887,68419,2281,"14,67",3456,"16,28",354,"15,8",35,57722931,"3,57"
CS 600x281,"280,7",600,600,16,"22,4",555,555,"357,6",248024,8267,"26,34",8995,80659,2689,"15,02",4068,"16,44",528,"13,4",35,67258147,"3,57"
CS 600x294,"293,8",600,600,19,"22,4",555,555,"374,3",252298,8410,"25,96",9226,80672,2689,"14,68",4082,"16,29",582,"13,4",29,67258147,"3,56"
CS 600x305,"304,6",600,600,16,25,550,550,388,270308,9010,"26,39",9835,90019,3001,"15,23",4535,"16,53",704,12,34,74390625,"3,57"
CS 600x318,"317,5",600,600,19,25,550,550,"404,5",274468,9149,"26,05",10062,90031,3001,"14,92",4550,"16,40",757,12,29,74390625,"3,56"
CS 600x332,"332,2",600,600,"22,4",25,550,550,"423,2",279182,9306,"25,68",10319,90052,3002,"14,59",4569,"16,25",840,12,25,74390625,"3,56"
CS 600x377,"376,8",600,600,19,"31,5",537,537,480,330248,11008,"26,23",12114,113431,3781,"15,37",5718,"16,59",1380,"9,5",28,91625003,"3,56"
CS 600x391,"391,2",600,600,"22,4","31,5",537,537,"498,3",334635,11155,"25,91",12360,113450,3782,"15,09",5737,"16,47",1463,"9,5",24,91625003,"3,56"
CS 600x402,"402,2",600,600,25,"31,5",537,537,"512,3",337991,11266,"25,69",12547,113470,3782,"14,88",5754,"16,38",1546,"9,5",21,91625003,"3,55"
CS 600x432,"431,6",600,600,19,"37,5",525,525,"549,8",379396,12647,"26,27",13965,135030,4501,"15,67",6797,"16,71",2238,8,28,106787109,"3,56"
CS 600x446,"445,6",600,600,"22,4","37,5",525,525,"567,6",383496,12783,"25,99",14200,135049,4502,"15,42",6816,"16,61",2320,8,23,106787109,"3,56"
CS 600x456,"456,3",600,600,25,"37,5",525,525,"581,3",386631,12888,"25,79",14379,135068,4502,"15,24",6832,"16,54",2402,8,21,106787109,"3,55"
CS 600x483,"483,1",600,600,"31,5","37,5",525,525,"615,4",394469,13149,"25,32",14827,135137,4505,"14,82",6880,"16,35",2695,8,17,106787109,"3,54"
CS 600x546,"545,6",600,600,"31,5","44,5",511,511,695,447862,14929,"25,39",16888,160333,5344,"15,19",8137,"16,51",4104,"6,7",16,123586390,"3,54"
CS 500x172,"171,5",500,500,"12,5",16,468,468,"218,5",104414,4177,"21,86",4556,33341,1334,"12,35",2018,"13,63",168,"15,6",37,19521333,"2,98"
CS 500x195,"194,5",500,500,"12,5",19,462,462,"247,8",120226,4809,"22,03",5237,39591,1584,"12,64",2393,"13,75",260,"13,2",37,22895099,"2,98"
CS 500x207,"207,2",500,500,16,19,462,462,"263,9",123102,4924,"21,6",5423,39599,1584,"12,25",2405,"13,58",294,"13,2",29,22895099,"2,97"
CS 500x221,"220,5",500,500,"12,5","22,4",455,455,"280,9",138161,5526,"22,18",5996,46674,1867,"12,89",2818,"13,86",406,"11,2",36,26611872,"2,98"
CS 500x233,233,500,500,16,"22,4",455,455,"296,8",140908,5636,"21,79",6177,46682,1867,"12,54",2829,"13,71",440,"11,2",28,26611872,"2,97"
CS 500x253,"252,8",500,500,16,25,450,450,322,153296,6132,"21,82",6748,52099,2084,"12,72",3154,"13,79",586,10,28,29378255,"2,97"
CS 500x263,"263,4",500,500,19,25,450,450,"335,5",155574,6223,"21,53",6899,52109,2084,"12,46",3166,"13,68",629,10,24,29378255,"2,96"
CS 500x312,"312,4",500,500,19,"31,5",437,437,398,186324,7453,"21,64",8286,65650,2626,"12,84",3977,"13,84",1149,"7,9",23,36010447,"2,96"
CS 500x324,"324,1",500,500,"22,4","31,5",437,437,"412,9",188689,7548,"21,38",8448,65666,2627,"12,61",3992,"13,74",1217,"7,9",20,36010447,"2,96"
CS 500x333,"333,1",500,500,25,"31,5",437,437,"424,3",190497,7620,"21,19",8572,65682,2627,"12,44",4006,"13,67",1286,"7,9",17,36010447,"2,95"
CS 500x369,"369,1",500,500,"22,4","37,5",425,425,"470,2",215306,8612,"21,4",9683,78165,3127,"12,89",4741,"13,86",1931,"6,7",19,41778564,"2,96"
CS 500x378,"377,8",500,500,25,"37,5",425,425,"481,3",216969,8679,"21,23",9801,78180,3127,"12,75",4754,"13,80",1999,"6,7",17,41778564,"2,95"
CS 550x228,"228,4",550,550,16,19,512,512,"290,9",165283,6010,"23,84",6598,52703,1916,"13,46",2907,"14,93",324,"14,5",32,37138082,"3,27"
CS 550x257,"256,9",550,550,16,"22,4",505,505,"327,2",189447,6889,"24,06",7520,62131,2259,"13,78",3420,"15,08",484,"12,3",32,43224942,"3,27"
CS 550x269,"268,8",550,550,19,"22,4",505,505,"342,4",192667,7006,"23,72",7711,62142,2260,"13,47",3434,"14,94",533,"12,3",27,43224942,"3,26"
CS 550x279,"278,7",550,550,16,25,500,500,355,206302,7502,"24,11",8219,69340,2521,"13,98",3813,"15,16",645,11,31,47767822,"3,27"
CS 550x290,"290,5",550,550,19,25,500,500,370,209427,7616,"23,79",8406,69351,2522,"13,69",3826,"15,04",693,11,26,47767822,"3,26"
CS 550x345,"344,6",550,550,19,"31,5",487,487,439,251459,9144,"23,93",10110,87375,3177,"14,11",4808,"15,22",1265,"8,7",26,58706326,"3,26"
CS 550x358,"357,6",550,550,"22,4","31,5",487,487,"455,6",254731,9263,"23,65",10311,87392,3178,"13,85",4825,"15,11",1340,"8,7",22,58706326,"3,26"
CS 550x368,"367,6",550,550,25,"31,5",487,487,"468,3",257234,9354,"23,44",10465,87410,3179,"13,66",4840,"15,02",1416,"8,7",19,58706326,"3,25"
CS 550x395,"394,7",550,550,19,"37,5",475,475,"502,8",288317,10484,"23,95",11642,104012,3782,"14,38",5715,"15,33",2051,"7,3",25,68280365,"3,26"
CS 550x407,"407,3",550,550,"22,4","37,5",475,475,"518,9",291353,10595,"23,7",11834,104029,3783,"14,16",5731,"15,24",2126,"7,3",21,68280365,"3,26"
CS 550x417,"417,1",550,550,25,"37,5",475,475,"531,3",293675,10679,"23,51",11980,104046,3783,"13,99",5746,"15,17",2201,"7,3",19,68280365,"3,25"
CS 550x441,"441,2",550,550,"31,5","37,5",475,475,"562,1",299480,10890,"23,08",12347,104108,3786,"13,61",5790,"15,00",2468,"7,3",15,68280365,"3,24"
CS 550x498,"498,2",550,550,"31,5","44,5",461,461,"634,7",339231,12336,"23,12",14046,123515,4491,"13,95",6845,"15,15",3758,"6,2",15,78827755,"3,24"
CS 600x250,"249,6",600,600,16,19,562,562,"317,9",216146,7205,"26,08",7887,68419,2281,"14,67",3456,"16,28",354,"15,8",35,57722931,"3,57"
CS 600x281,"280,7",600,600,16,"22,4",555,555,"357,6",248024,8267,"26,34",8995,80659,2689,"15,02",4068,"16,44",528,"13,4",35,67258147,"3,57"
CS 600x294,"293,8",600,600,19,"22,4",555,555,"374,3",252298,8410,"25,96",9226,80672,2689,"14,68",4082,"16,29",582,"13,4",29,67258147,"3,56"
CS 600x305,"304,6",600,600,16,25,550,550,388,270308,9010,"26,39",9835,90019,3001,"15,23",4535,"16,53",704,12,34,74390625,"3,57"
CS 600x318,"317,5",600,600,19,25,550,550,"404,5",274468,9149,"26,05",10062,90031,3001,"14,92",4550,"16,40",757,12,29,74390625,"3,56"
CS 600x332,"332,2",600,600,"22,4",25,550,550,"423,2",279182,9306,"25,68",10319,90052,3002,"14,59",4569,"16,25",840,12,25,74390625,"3,56"
CS 600x377,"376,8",600,600,19,"31,5",537,537,480,330248,11008,"26,23",12114,113431,3781,"15,37",5718,"16,59",1380,"9,5",28,91625003,"3,56"
CS 600x391,"391,2",600,600,"22,4","31,5",537,537,"498,3",334635,11155,"25,91",12360,113450,3782,"15,09",5737,"16,47",1463,"9,5",24,91625003,"3,56"
